"root","tail_index","tail_index_2","error","tail_diff"
0.2,2,2,0.0163,"2,2"
0.2,2,3,0.0394333333333333,"2,3"
0.2,2,4,0.0772333333333333,"2,4"
0.2,3,2,0.0300666666666667,"3,2"
0.2,3,3,0.0351333333333333,"3,3"
0.2,3,4,0.0554333333333333,"3,4"
0.2,4,2,0.0456666666666667,"4,2"
0.2,4,3,0.0492333333333333,"4,3"
0.2,4,4,0.0626666666666667,"4,4"
0.25,2,2,0.0124666666666667,"2,2"
0.25,2,3,0.0331666666666667,"2,3"
0.25,2,4,0.0789666666666667,"2,4"
0.25,3,2,0.0251666666666667,"3,2"
0.25,3,3,0.0307333333333333,"3,3"
0.25,3,4,0.0446333333333333,"3,4"
0.25,4,2,0.0385333333333333,"4,2"
0.25,4,3,0.0433333333333333,"4,3"
0.25,4,4,0.0533,"4,4"
0.3,2,2,0.00946666666666667,"2,2"
0.3,2,3,0.0236333333333333,"2,3"
0.3,2,4,0.064,"2,4"
0.3,3,2,0.0198333333333333,"3,2"
0.3,3,3,0.0269666666666667,"3,3"
0.3,3,4,0.0406666666666667,"3,4"
0.3,4,2,0.0318,"4,2"
0.3,4,3,0.0376666666666667,"4,3"
0.3,4,4,0.0477,"4,4"
0.35,2,2,0.00853333333333333,"2,2"
0.35,2,3,0.0163,"2,3"
0.35,2,4,0.0402333333333333,"2,4"
0.35,3,2,0.0202,"3,2"
0.35,3,3,0.0229,"3,3"
0.35,3,4,0.0330333333333333,"3,4"
0.35,4,2,0.0281333333333333,"4,2"
0.35,4,3,0.0349666666666667,"4,3"
0.35,4,4,0.0441333333333333,"4,4"
0.4,2,2,0.0077,"2,2"
0.4,2,3,0.0132666666666667,"2,3"
0.4,2,4,0.0283333333333333,"2,4"
0.4,3,2,0.0179333333333333,"3,2"
0.4,3,3,0.0231,"3,3"
0.4,3,4,0.0349333333333333,"3,4"
0.4,4,2,0.0257666666666667,"4,2"
0.4,4,3,0.0319,"4,3"
0.4,4,4,0.0431,"4,4"
0.45,2,2,0.00743333333333333,"2,2"
0.45,2,3,0.0135333333333333,"2,3"
0.45,2,4,0.0236,"2,4"
0.45,3,2,0.0151666666666667,"3,2"
0.45,3,3,0.0231666666666667,"3,3"
0.45,3,4,0.0340666666666667,"3,4"
0.45,4,2,0.0255666666666667,"4,2"
0.45,4,3,0.0322666666666667,"4,3"
0.45,4,4,0.0441666666666667,"4,4"
0.5,2,2,0.0081,"2,2"
0.5,2,3,0.0154333333333333,"2,3"
0.5,2,4,0.0253333333333333,"2,4"
0.5,3,2,0.017,"3,2"
0.5,3,3,0.0257333333333333,"3,3"
0.5,3,4,0.0358333333333333,"3,4"
0.5,4,2,0.0243333333333333,"4,2"
0.5,4,3,0.0366666666666667,"4,3"
0.5,4,4,0.0482333333333333,"4,4"
0.55,2,2,0.0108,"2,2"
0.55,2,3,0.018,"2,3"
0.55,2,4,0.0285666666666667,"2,4"
0.55,3,2,0.0194666666666667,"3,2"
0.55,3,3,0.0322333333333333,"3,3"
0.55,3,4,0.0419,"3,4"
0.55,4,2,0.0254333333333333,"4,2"
0.55,4,3,0.0382,"4,3"
0.55,4,4,0.0554,"4,4"
0.6,2,2,0.015,"2,2"
0.6,2,3,0.0275333333333333,"2,3"
0.6,2,4,0.0403333333333333,"2,4"
0.6,3,2,0.0263333333333333,"3,2"
0.6,3,3,0.04,"3,3"
0.6,3,4,0.0567666666666667,"3,4"
0.6,4,2,0.0311666666666667,"4,2"
0.6,4,3,0.051,"4,3"
0.6,4,4,0.0683666666666667,"4,4"
0.65,2,2,0.0290666666666667,"2,2"
0.65,2,3,0.0462333333333333,"2,3"
0.65,2,4,0.0603,"2,4"
0.65,3,2,0.0377333333333333,"3,2"
0.65,3,3,0.0622,"3,3"
0.65,3,4,0.0813,"3,4"
0.65,4,2,0.0463666666666667,"4,2"
0.65,4,3,0.0698333333333333,"4,3"
0.65,4,4,0.0936666666666667,"4,4"
