"case","dir","pretest","conftest","indtest","c12","c21","hill1","hill2","p_val","beta1","beta_h1","beta_h2","dirH","pretestH","conftestH","c12H","c21H","df1","df2","dfh"
3,1,1,0,1,0.930135897435897,0.546651282051282,0.395314831919625,0.521896628968042,1.53785228058645e-05,0.602845999225974,0.332359347306192,0.215699080564082,NA,NA,NA,NA,NA,3,2,2
3,1,1,0,1,0.826166666666667,0.516623076923077,0.402531199996888,0.363809814656244,0.110536180145669,0.150104434043169,0.544437409564853,0.672508496418595,NA,NA,NA,NA,NA,3,3,2
1,1,0,0,0,0.551323076923077,0.45235641025641,0.352802595872872,0.373360549490313,0.370843629865423,0.8056162443012,0.203428244404495,0.160748285613954,NA,NA,NA,NA,NA,4,3,3
1,2,0,0,1,0.470684615384615,0.546133333333333,0.403855119081188,0.550874607604212,1.48768220364914e-06,0.72587248776108,0.247763105854392,0.124723133817315,NA,NA,NA,NA,NA,2,3,2
2,1,1,1,0,0.977048717948718,0.783458974358974,0.406076054854062,0.482017898998678,0.00705442070425111,0.15898287538439,0.775577598437667,0.57509657163173,1,1,1,0.815143194954244,0.639239490456454,4,2,2
4,1,1,1,1,0.994633333333333,0.815066666666667,0.410305675953525,0.493450616187058,0.00376703098573783,0.882677154242992,0.565435989946127,0.640347282029688,1,1,1,0.955103138740482,0.57962241547397,4,2,2
2,1,1,0,1,0.807933333333333,0.536166666666667,0.334104566342252,0.51801469932542,2.5332624886687e-11,0.362212120182812,0.724539931118488,0.425685674697161,2,0,0,0.552693412520601,0.564287119189602,4,2,3
3,1,1,1,1,0.995387179487179,0.875584615384615,0.545790503821238,0.371297451884098,3.40488437444719e-09,0.454923758283257,0.703319843299687,0.852972466498613,NA,NA,NA,NA,NA,2,4,3
3,1,1,0,0,0.875715384615385,0.571217948717949,0.325770092769292,0.337256906429596,0.583845550855668,0.259371524676681,0.391404329054058,0.274921598099172,NA,NA,NA,NA,NA,4,4,3
3,1,1,1,1,0.995653846153846,0.876087179487179,0.52022768548661,0.375067030608864,4.16761743116112e-07,0.551541708596051,0.730072218365967,0.159620092436671,NA,NA,NA,NA,NA,2,4,2
3,1,1,0,1,0.962707692307692,0.563189743589744,0.400250645022318,0.490986123581041,0.00136045922722272,0.487095249816775,0.817835610918701,0.858155542239547,NA,NA,NA,NA,NA,3,2,3
3,1,1,1,1,0.995230769230769,0.861094871794872,0.536515703947194,0.412699278385627,4.30905247226221e-05,0.688054786995053,0.187624664418399,0.143669915385544,NA,NA,NA,NA,NA,2,3,2
